GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AQNGE001,AQNGE002,AQNGE003,AQNGE004,AQNGE005,AQNGE006,AQNGE007,AQNGE008,AQNGE009,AQNGE010,AQPZE001,AQPZE002,AQPZE003,AQPZE004,AQPZE005,AQPZE006,AQPZE007,AQPZE008,NAME_M,AQNGM001,AQNGM002,AQNGM003,AQNGM004,AQNGM005,AQNGM006,AQNGM007,AQNGM008,AQNGM009,AQNGM010,AQPZM001,AQPZM002,AQPZM003,AQPZM004,AQPZM005,AQPZM006,AQPZM007,AQPZM008
"G27000107701001","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"770100","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017701001",,,"270017701001","Block Group 1, Census Tract 7701, Aitkin County, Minnesota",861,823,0,29,1,0,0,8,3,5,861,54,43,18,38,67,17,624,"Block Group 1, Census Tract 7701, Aitkin County, Minnesota",93,92,9,21,3,9,9,6,5,5,93,25,19,15,18,27,11,82
"G27000107701002","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"770100","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017701002",,,"270017701002","Block Group 2, Census Tract 7701, Aitkin County, Minnesota",884,761,2,3,0,0,61,57,6,51,881,21,136,37,22,67,21,577,"Block Group 2, Census Tract 7701, Aitkin County, Minnesota",96,93,3,5,9,9,40,23,5,23,96,15,64,22,10,42,21,81
"G27000107701003","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"770100","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017701003",,,"270017701003","Block Group 3, Census Tract 7701, Aitkin County, Minnesota",683,652,3,0,2,0,16,10,5,5,680,14,50,27,39,89,44,417,"Block Group 3, Census Tract 7701, Aitkin County, Minnesota",93,93,4,9,3,9,19,8,6,5,93,7,37,11,28,36,30,64
"G27000107702001","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"770200","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017702001",,,"270017702001","Block Group 1, Census Tract 7702, Aitkin County, Minnesota",793,734,0,18,0,0,2,39,5,34,788,12,90,12,32,100,17,525,"Block Group 1, Census Tract 7702, Aitkin County, Minnesota",100,98,9,18,9,9,3,21,7,21,100,8,43,10,36,54,12,79
"G27000107702002","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"770200","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017702002",,,"270017702002","Block Group 2, Census Tract 7702, Aitkin County, Minnesota",683,641,0,19,0,1,2,20,0,20,679,33,44,13,16,41,65,467,"Block Group 2, Census Tract 7702, Aitkin County, Minnesota",108,107,9,12,9,2,3,14,9,14,108,20,19,11,10,17,59,80
"G27000107702003","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"770200","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017702003",,,"270017702003","Block Group 3, Census Tract 7702, Aitkin County, Minnesota",701,647,2,6,0,0,0,46,0,46,692,20,69,64,24,29,3,483,"Block Group 3, Census Tract 7702, Aitkin County, Minnesota",107,107,5,9,9,9,9,25,9,25,107,17,37,54,25,14,4,91
"G27000107703001","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"770300","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017703001",,,"270017703001","Block Group 1, Census Tract 7703, Aitkin County, Minnesota",1330,1308,0,19,0,0,0,3,0,3,1297,176,71,83,24,115,8,820,"Block Group 1, Census Tract 7703, Aitkin County, Minnesota",230,231,9,20,9,9,9,5,9,5,222,92,49,44,26,91,9,170
"G27000107703002","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"770300","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017703002",,,"270017703002","Block Group 2, Census Tract 7703, Aitkin County, Minnesota",901,878,3,0,0,0,0,20,0,20,832,35,153,24,109,88,0,423,"Block Group 2, Census Tract 7703, Aitkin County, Minnesota",153,149,6,9,9,9,9,17,9,17,142,44,72,25,61,60,9,91
"G27000107703003","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"770300","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017703003",,,"270017703003","Block Group 3, Census Tract 7703, Aitkin County, Minnesota",1076,962,10,31,0,0,15,58,19,39,988,42,62,15,36,35,0,798,"Block Group 3, Census Tract 7703, Aitkin County, Minnesota",144,126,11,28,9,9,21,30,17,25,136,29,30,21,27,18,9,134
"G27000107704011","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"770401","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017704011",,,"270017704011","Block Group 1, Census Tract 7704.01, Aitkin County, Minnesota",1451,1353,11,39,0,0,2,46,12,34,1451,58,69,82,65,66,73,1038,"Block Group 1, Census Tract 7704.01, Aitkin County, Minnesota",151,149,13,36,9,9,5,27,10,25,151,39,36,44,31,42,57,138
"G27000107704021","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"770402","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017704021",,,"270017704021","Block Group 1, Census Tract 7704.02, Aitkin County, Minnesota",988,789,28,120,13,0,5,33,2,31,982,38,136,63,48,110,110,477,"Block Group 1, Census Tract 7704.02, Aitkin County, Minnesota",146,139,18,45,15,9,5,22,3,22,146,20,75,32,25,51,61,80
"G27000107704022","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"770402","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017704022",,,"270017704022","Block Group 2, Census Tract 7704.02, Aitkin County, Minnesota",660,615,2,4,0,0,1,38,11,27,656,25,43,36,14,18,14,506,"Block Group 2, Census Tract 7704.02, Aitkin County, Minnesota",87,79,2,5,9,9,1,29,11,25,86,15,23,30,10,11,9,79
"G27000107905011","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"790501","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017905011",,,"270017905011","Block Group 1, Census Tract 7905.01, Aitkin County, Minnesota",641,609,0,1,1,0,0,30,1,29,641,36,34,17,69,30,6,449,"Block Group 1, Census Tract 7905.01, Aitkin County, Minnesota",107,99,9,1,2,9,9,26,3,26,107,22,20,9,47,14,7,96
"G27000107905012","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"790501","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017905012",,,"270017905012","Block Group 2, Census Tract 7905.01, Aitkin County, Minnesota",1205,1167,5,11,2,1,0,19,2,17,1205,48,65,26,38,111,14,903,"Block Group 2, Census Tract 7905.01, Aitkin County, Minnesota",100,99,6,11,4,3,9,13,3,12,100,21,24,17,25,45,9,83
"G27000107905031","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"790503","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017905031",,,"270017905031","Block Group 1, Census Tract 7905.03, Aitkin County, Minnesota",519,450,1,0,0,0,0,68,68,0,519,28,5,32,22,21,3,408,"Block Group 1, Census Tract 7905.03, Aitkin County, Minnesota",90,78,3,9,9,9,9,33,33,9,90,24,6,16,15,14,4,95
"G27000107905032","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"790503","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017905032",,,"270017905032","Block Group 2, Census Tract 7905.03, Aitkin County, Minnesota",397,392,0,0,0,0,5,0,0,0,397,2,29,45,5,37,10,269,"Block Group 2, Census Tract 7905.03, Aitkin County, Minnesota",82,81,9,9,9,9,7,9,9,9,82,5,26,40,7,20,9,71
"G27000107905033","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"790503","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017905033",,,"270017905033","Block Group 3, Census Tract 7905.03, Aitkin County, Minnesota",630,626,0,0,0,3,0,1,0,1,630,14,30,9,22,73,12,470,"Block Group 3, Census Tract 7905.03, Aitkin County, Minnesota",107,106,9,9,9,5,9,3,9,3,107,9,16,8,25,49,11,101
"G27000107905041","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"790504","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017905041",,,"270017905041","Block Group 1, Census Tract 7905.04, Aitkin County, Minnesota",379,375,0,2,0,0,2,0,0,0,379,12,24,20,10,18,2,293,"Block Group 1, Census Tract 7905.04, Aitkin County, Minnesota",71,71,9,3,9,9,4,9,9,9,71,7,18,18,12,14,3,67
"G27000107905042","2018-2022","MN",,,"Minnesota","27","Aitkin County","001",,,"790504","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270017905042",,,"270017905042","Block Group 2, Census Tract 7905.04, Aitkin County, Minnesota",1077,1051,6,1,5,0,6,8,2,6,1069,34,76,48,43,37,27,804,"Block Group 2, Census Tract 7905.04, Aitkin County, Minnesota",113,113,3,2,6,9,7,6,3,5,112,23,37,30,29,20,13,93
"G27000300501071","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050107","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030501071",,,"270030501071","Block Group 1, Census Tract 501.07, Anoka County, Minnesota",1895,1809,0,0,8,0,4,74,0,74,1831,37,177,107,24,167,80,1239,"Block Group 1, Census Tract 501.07, Anoka County, Minnesota",304,323,9,9,13,9,9,73,9,73,300,35,158,88,37,200,94,274
"G27000300501072","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050107","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030501072",,,"270030501072","Block Group 2, Census Tract 501.07, Anoka County, Minnesota",1036,990,8,0,9,0,0,29,0,29,1036,35,0,0,49,0,83,869,"Block Group 2, Census Tract 501.07, Anoka County, Minnesota",249,253,13,9,13,9,9,42,9,42,249,40,9,9,64,9,112,233
"G27000300501081","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050108","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030501081",,,"270030501081","Block Group 1, Census Tract 501.08, Anoka County, Minnesota",2701,2418,62,0,0,0,29,192,0,192,2692,61,89,34,73,57,0,2378,"Block Group 1, Census Tract 501.08, Anoka County, Minnesota",338,330,69,9,9,9,42,146,9,146,335,76,67,31,77,56,9,374
"G27000300501082","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050108","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030501082",,,"270030501082","Block Group 2, Census Tract 501.08, Anoka County, Minnesota",1552,1481,2,2,18,0,2,47,3,44,1549,14,27,14,2,52,6,1434,"Block Group 2, Census Tract 501.08, Anoka County, Minnesota",361,360,4,3,16,9,3,33,5,33,361,14,31,16,5,38,8,362
"G27000300501083","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050108","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030501083",,,"270030501083","Block Group 3, Census Tract 501.08, Anoka County, Minnesota",1484,1398,33,0,0,0,0,53,12,41,1484,0,70,0,8,201,0,1205,"Block Group 3, Census Tract 501.08, Anoka County, Minnesota",274,260,50,9,9,9,9,40,19,34,274,9,86,9,13,151,9,301
"G27000300501091","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050109","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030501091",,,"270030501091","Block Group 1, Census Tract 501.09, Anoka County, Minnesota",1778,1765,0,0,0,0,0,13,0,13,1769,37,57,11,35,171,0,1458,"Block Group 1, Census Tract 501.09, Anoka County, Minnesota",405,405,9,9,9,9,9,16,9,16,404,36,56,19,45,223,9,406
"G27000300501092","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050109","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030501092",,,"270030501092","Block Group 2, Census Tract 501.09, Anoka County, Minnesota",1275,1051,19,8,4,0,126,67,43,24,1244,0,1,13,0,52,2,1176,"Block Group 2, Census Tract 501.09, Anoka County, Minnesota",313,265,26,12,7,9,176,63,56,27,311,9,3,18,9,78,3,310
"G27000300501093","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050109","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030501093",,,"270030501093","Block Group 3, Census Tract 501.09, Anoka County, Minnesota",1341,1318,0,0,11,0,0,12,0,12,1332,63,0,0,0,33,0,1236,"Block Group 3, Census Tract 501.09, Anoka County, Minnesota",499,496,9,9,18,9,9,18,9,18,498,62,9,9,9,46,9,520
"G27000300501094","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050109","4",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030501094",,,"270030501094","Block Group 4, Census Tract 501.09, Anoka County, Minnesota",1279,1267,0,0,6,0,0,6,0,6,1279,0,0,12,0,0,0,1267,"Block Group 4, Census Tract 501.09, Anoka County, Minnesota",459,459,9,9,10,9,9,9,9,9,459,9,9,19,9,9,9,457
"G27000300501101","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050110","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030501101",,,"270030501101","Block Group 1, Census Tract 501.10, Anoka County, Minnesota",1268,1188,6,14,0,0,0,60,42,18,1268,0,21,2,7,16,23,1199,"Block Group 1, Census Tract 501.10, Anoka County, Minnesota",262,264,9,21,9,9,9,46,47,20,262,9,30,4,11,21,37,258
"G27000300501102","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050110","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030501102",,,"270030501102","Block Group 2, Census Tract 501.10, Anoka County, Minnesota",1505,1365,10,7,31,0,92,0,0,0,1504,0,75,23,0,23,0,1383,"Block Group 2, Census Tract 501.10, Anoka County, Minnesota",431,433,15,11,47,9,96,9,9,9,431,9,78,37,9,24,9,418
"G27000300501111","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050111","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030501111",,,"270030501111","Block Group 1, Census Tract 501.11, Anoka County, Minnesota",1202,1175,0,0,16,0,0,11,0,11,1202,0,1,0,0,20,0,1181,"Block Group 1, Census Tract 501.11, Anoka County, Minnesota",333,337,9,9,23,9,9,17,9,17,333,9,6,9,9,29,9,331
"G27000300501112","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050111","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030501112",,,"270030501112","Block Group 2, Census Tract 501.11, Anoka County, Minnesota",1268,1222,1,0,13,0,14,18,0,18,1268,25,1,0,261,72,0,909,"Block Group 2, Census Tract 501.11, Anoka County, Minnesota",228,251,4,9,22,9,22,88,9,88,228,39,4,9,266,112,9,221
"G27000300501113","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050111","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030501113",,,"270030501113","Block Group 3, Census Tract 501.11, Anoka County, Minnesota",985,910,54,0,0,0,0,21,0,21,985,0,0,0,10,0,0,975,"Block Group 3, Census Tract 501.11, Anoka County, Minnesota",390,369,82,9,9,9,9,32,9,32,390,9,9,9,17,9,9,393
"G27000300501141","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050114","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030501141",,,"270030501141","Block Group 1, Census Tract 501.14, Anoka County, Minnesota",1552,1541,0,0,0,0,0,11,0,11,1552,23,24,0,0,9,42,1454,"Block Group 1, Census Tract 501.14, Anoka County, Minnesota",367,365,9,9,9,9,9,18,9,18,367,28,29,9,9,14,51,363
"G27000300501142","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050114","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030501142",,,"270030501142","Block Group 2, Census Tract 501.14, Anoka County, Minnesota",1621,1535,0,0,15,0,0,71,20,51,1616,44,15,13,0,5,18,1521,"Block Group 2, Census Tract 501.14, Anoka County, Minnesota",261,256,9,9,25,9,9,65,31,60,261,33,16,22,9,9,24,259
"G27000300501151","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050115","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030501151",,,"270030501151","Block Group 1, Census Tract 501.15, Anoka County, Minnesota",962,804,0,0,106,0,0,52,0,52,962,0,0,12,85,0,47,818,"Block Group 1, Census Tract 501.15, Anoka County, Minnesota",225,212,9,9,134,9,9,79,9,79,225,9,9,19,116,9,62,227
"G27000300501152","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050115","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030501152",,,"270030501152","Block Group 2, Census Tract 501.15, Anoka County, Minnesota",1991,1918,0,0,0,0,57,16,0,16,1991,31,14,0,0,8,0,1938,"Block Group 2, Census Tract 501.15, Anoka County, Minnesota",492,491,9,9,9,9,84,27,9,27,492,51,23,9,9,13,9,490
"G27000300501153","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050115","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030501153",,,"270030501153","Block Group 3, Census Tract 501.15, Anoka County, Minnesota",1348,1031,0,0,314,0,0,3,0,3,1348,20,13,0,24,0,7,1284,"Block Group 3, Census Tract 501.15, Anoka County, Minnesota",453,308,9,9,426,9,9,7,9,7,453,23,20,9,31,9,16,461
"G27000300501154","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050115","4",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030501154",,,"270030501154","Block Group 4, Census Tract 501.15, Anoka County, Minnesota",1482,1398,0,2,17,0,10,55,0,55,1482,0,6,8,31,27,180,1230,"Block Group 4, Census Tract 501.15, Anoka County, Minnesota",455,454,9,4,21,9,20,55,9,55,455,9,10,13,46,43,202,391
"G27000300501161","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050116","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030501161",,,"270030501161","Block Group 1, Census Tract 501.16, Anoka County, Minnesota",1418,1143,3,216,17,0,10,29,0,29,1371,15,84,0,0,42,0,1230,"Block Group 1, Census Tract 501.16, Anoka County, Minnesota",439,367,6,234,28,9,16,48,9,48,412,19,79,9,9,68,9,403
"G27000300501162","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050116","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030501162",,,"270030501162","Block Group 2, Census Tract 501.16, Anoka County, Minnesota",1240,1192,7,11,0,0,0,30,0,30,1171,9,9,11,0,0,0,1142,"Block Group 2, Census Tract 501.16, Anoka County, Minnesota",352,347,13,19,9,9,9,34,9,34,326,12,12,17,9,9,9,326
"G27000300501163","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050116","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030501163",,,"270030501163","Block Group 3, Census Tract 501.16, Anoka County, Minnesota",1860,1821,24,0,0,0,0,15,0,15,1842,28,18,0,0,39,0,1757,"Block Group 3, Census Tract 501.16, Anoka County, Minnesota",588,593,33,9,9,9,9,19,9,19,589,34,31,9,9,53,9,594
"G27000300502081","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050208","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030502081",,,"270030502081","Block Group 1, Census Tract 502.08, Anoka County, Minnesota",1076,1037,20,0,0,0,0,19,0,19,1076,7,18,0,0,21,0,1030,"Block Group 1, Census Tract 502.08, Anoka County, Minnesota",325,320,32,9,9,9,9,34,9,34,325,13,27,9,9,32,9,333
"G27000300502082","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050208","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030502082",,,"270030502082","Block Group 2, Census Tract 502.08, Anoka County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Block Group 2, Census Tract 502.08, Anoka County, Minnesota",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
"G27000300502083","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050208","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030502083",,,"270030502083","Block Group 3, Census Tract 502.08, Anoka County, Minnesota",1119,1067,22,0,0,0,30,0,0,0,1119,181,0,34,6,10,0,888,"Block Group 3, Census Tract 502.08, Anoka County, Minnesota",454,444,33,9,9,9,44,9,9,9,454,223,9,52,11,16,9,418
"G27000300502084","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050208","4",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030502084",,,"270030502084","Block Group 4, Census Tract 502.08, Anoka County, Minnesota",1109,594,395,0,79,0,0,41,15,26,1109,113,1,12,10,9,6,958,"Block Group 4, Census Tract 502.08, Anoka County, Minnesota",375,149,338,9,67,9,9,50,22,47,375,118,3,16,17,14,12,348
"G27000300502101","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050210","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030502101",,,"270030502101","Block Group 1, Census Tract 502.10, Anoka County, Minnesota",1681,1418,0,81,122,0,19,41,0,41,1657,11,7,0,48,81,70,1440,"Block Group 1, Census Tract 502.10, Anoka County, Minnesota",296,298,9,99,138,9,29,53,9,53,292,17,12,9,60,137,93,291
"G27000300502102","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050210","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030502102",,,"270030502102","Block Group 2, Census Tract 502.10, Anoka County, Minnesota",729,702,0,9,0,0,0,18,0,18,729,0,0,0,0,0,0,729,"Block Group 2, Census Tract 502.10, Anoka County, Minnesota",212,217,9,15,9,9,9,28,9,28,212,9,9,9,9,9,9,212
"G27000300502103","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050210","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030502103",,,"270030502103","Block Group 3, Census Tract 502.10, Anoka County, Minnesota",1016,997,0,0,0,0,9,10,0,10,1009,10,82,0,49,9,9,850,"Block Group 3, Census Tract 502.10, Anoka County, Minnesota",227,227,9,9,9,9,15,17,9,17,225,17,84,9,74,15,15,225
"G27000300502104","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050210","4",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030502104",,,"270030502104","Block Group 4, Census Tract 502.10, Anoka County, Minnesota",754,704,0,0,0,0,0,50,50,0,743,10,20,0,34,0,59,620,"Block Group 4, Census Tract 502.10, Anoka County, Minnesota",237,232,9,9,9,9,9,57,57,9,234,14,16,9,44,9,64,191
"G27000300502151","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050215","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030502151",,,"270030502151","Block Group 1, Census Tract 502.15, Anoka County, Minnesota",1734,1347,0,0,297,0,28,62,36,26,1734,7,2,24,149,0,20,1532,"Block Group 1, Census Tract 502.15, Anoka County, Minnesota",302,322,9,9,238,9,44,63,43,33,302,9,3,37,152,9,30,295
"G27000300502152","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050215","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030502152",,,"270030502152","Block Group 2, Census Tract 502.15, Anoka County, Minnesota",1679,1351,0,0,191,0,0,137,123,14,1679,0,28,10,7,8,0,1626,"Block Group 2, Census Tract 502.15, Anoka County, Minnesota",360,351,9,9,150,9,9,181,178,20,360,9,34,16,11,13,9,365
"G27000300502153","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050215","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030502153",,,"270030502153","Block Group 3, Census Tract 502.15, Anoka County, Minnesota",918,878,0,0,0,0,10,30,6,24,918,8,8,0,0,0,56,846,"Block Group 3, Census Tract 502.15, Anoka County, Minnesota",298,298,9,9,9,9,16,28,12,27,298,12,14,9,9,9,87,297
"G27000300502161","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050216","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030502161",,,"270030502161","Block Group 1, Census Tract 502.16, Anoka County, Minnesota",1782,1632,0,0,108,0,6,36,0,36,1782,60,36,0,0,0,0,1686,"Block Group 1, Census Tract 502.16, Anoka County, Minnesota",388,389,9,9,88,9,13,34,9,34,388,77,49,9,9,9,9,382
"G27000300502162","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050216","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030502162",,,"270030502162","Block Group 2, Census Tract 502.16, Anoka County, Minnesota",929,928,0,0,0,0,0,1,0,1,929,9,11,0,0,0,0,909,"Block Group 2, Census Tract 502.16, Anoka County, Minnesota",371,371,9,9,9,9,9,2,9,2,371,13,17,9,9,9,9,373
"G27000300502163","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050216","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030502163",,,"270030502163","Block Group 3, Census Tract 502.16, Anoka County, Minnesota",1041,989,1,0,18,0,18,15,15,0,1041,2,0,0,0,0,0,1039,"Block Group 3, Census Tract 502.16, Anoka County, Minnesota",468,471,3,9,21,9,29,25,25,9,468,5,9,9,9,9,9,468
"G27000300502164","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050216","4",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030502164",,,"270030502164","Block Group 4, Census Tract 502.16, Anoka County, Minnesota",1082,1060,0,0,0,0,0,22,14,8,1082,0,134,0,27,19,0,902,"Block Group 4, Census Tract 502.16, Anoka County, Minnesota",256,259,9,9,9,9,9,27,23,12,256,9,208,9,29,32,9,214
"G27000300502165","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050216","5",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030502165",,,"270030502165","Block Group 5, Census Tract 502.16, Anoka County, Minnesota",1181,1138,0,0,43,0,0,0,0,0,1181,0,19,0,20,0,0,1142,"Block Group 5, Census Tract 502.16, Anoka County, Minnesota",269,266,9,9,66,9,9,9,9,9,269,9,20,9,29,9,9,265
"G27000300502171","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050217","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030502171",,,"270030502171","Block Group 1, Census Tract 502.17, Anoka County, Minnesota",2450,1872,318,0,243,0,7,10,0,10,2450,72,3,35,227,43,37,2033,"Block Group 1, Census Tract 502.17, Anoka County, Minnesota",441,363,237,9,225,9,11,14,9,14,441,85,5,38,256,46,38,403
"G27000300502172","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050217","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030502172",,,"270030502172","Block Group 2, Census Tract 502.17, Anoka County, Minnesota",977,877,0,18,49,0,24,9,0,9,975,0,34,5,0,0,0,936,"Block Group 2, Census Tract 502.17, Anoka County, Minnesota",257,237,9,30,84,9,30,14,9,14,257,9,34,7,9,9,9,258
"G27000300502181","2018-2022","MN",,,"Minnesota","27","Anoka County","003",,,"050218","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US270030502181",,,"270030502181","Block Group 1, Census Tract 502.18, Anoka County, Minnesota",1239,1239,0,0,0,0,0,0,0,0,1222,46,7,0,29,92,0,1048,"Block Group 1, Census Tract 502.18, Anoka County, Minnesota",255,255,9,9,9,9,9,9,9,9,249,69,11,9,46,100,9,242
