GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AQNGE001,AQNGE002,AQNGE003,AQNGE004,AQNGE005,AQNGE006,AQNGE007,AQNGE008,AQNGE009,AQNGE010,AQPZE001,AQPZE002,AQPZE003,AQPZE004,AQPZE005,AQPZE006,AQPZE007,AQPZE008,NAME_M,AQNGM001,AQNGM002,AQNGM003,AQNGM004,AQNGM005,AQNGM006,AQNGM007,AQNGM008,AQNGM009,AQNGM010,AQPZM001,AQPZM002,AQPZM003,AQPZM004,AQPZM005,AQPZM006,AQPZM007,AQPZM008
"G27012300407073","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"040707","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230407073",,,"271230407073","Block Group 3, Census Tract 407.07, Ramsey County, Minnesota",578,536,7,0,8,0,27,0,0,0,578,30,8,47,0,32,0,461,"Block Group 3, Census Tract 407.07, Ramsey County, Minnesota",124,119,12,9,14,9,30,9,9,9,124,34,13,74,9,56,9,119
"G27012300407081","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"040708","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230407081",,,"271230407081","Block Group 1, Census Tract 407.08, Ramsey County, Minnesota",1948,1073,241,66,437,0,120,11,0,11,1948,80,50,0,66,70,24,1658,"Block Group 1, Census Tract 407.08, Ramsey County, Minnesota",440,333,266,96,268,9,131,17,9,17,440,97,81,9,96,69,38,450
"G27012300407082","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"040708","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230407082",,,"271230407082","Block Group 2, Census Tract 407.08, Ramsey County, Minnesota",2093,1529,99,0,205,15,0,245,0,245,2093,66,40,0,21,209,3,1754,"Block Group 2, Census Tract 407.08, Ramsey County, Minnesota",506,253,150,9,248,22,9,307,9,307,506,62,52,9,35,151,7,519
"G27012300407091","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"040709","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230407091",,,"271230407091","Block Group 1, Census Tract 407.09, Ramsey County, Minnesota",684,522,1,0,47,0,0,114,0,114,679,15,19,0,15,64,63,503,"Block Group 1, Census Tract 407.09, Ramsey County, Minnesota",314,224,3,9,55,9,9,123,9,123,314,24,33,9,24,68,93,275
"G27012300407092","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"040709","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230407092",,,"271230407092","Block Group 2, Census Tract 407.09, Ramsey County, Minnesota",1069,845,0,0,224,0,0,0,0,0,1069,42,9,0,14,0,0,1004,"Block Group 2, Census Tract 407.09, Ramsey County, Minnesota",302,269,9,9,195,9,9,9,9,9,302,56,24,9,26,9,9,298
"G27012300407093","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"040709","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230407093",,,"271230407093","Block Group 3, Census Tract 407.09, Ramsey County, Minnesota",1506,1464,42,0,0,0,0,0,0,0,1506,0,14,0,0,0,9,1483,"Block Group 3, Census Tract 407.09, Ramsey County, Minnesota",360,370,58,9,9,9,9,9,9,9,360,9,25,9,9,9,14,364
"G27012300408011","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"040801","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230408011",,,"271230408011","Block Group 1, Census Tract 408.01, Ramsey County, Minnesota",854,284,12,3,90,0,404,61,40,21,854,229,40,19,185,67,0,314,"Block Group 1, Census Tract 408.01, Ramsey County, Minnesota",248,120,20,5,76,9,242,65,60,23,248,220,63,31,150,77,9,112
"G27012300408012","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"040801","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230408012",,,"271230408012","Block Group 2, Census Tract 408.01, Ramsey County, Minnesota",702,592,8,0,46,0,0,56,14,42,702,0,10,6,0,0,0,686,"Block Group 2, Census Tract 408.01, Ramsey County, Minnesota",185,191,14,9,44,9,9,61,22,59,185,9,14,11,9,9,9,185
"G27012300408013","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"040801","3",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230408013",,,"271230408013","Block Group 3, Census Tract 408.01, Ramsey County, Minnesota",1635,1395,79,3,113,0,11,34,0,34,1635,2,1,67,12,82,57,1414,"Block Group 3, Census Tract 408.01, Ramsey County, Minnesota",222,231,92,5,76,9,17,33,9,33,222,8,6,75,19,78,77,224
"G27012300408041","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"040804","1",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230408041",,,"271230408041","Block Group 1, Census Tract 408.04, Ramsey County, Minnesota",1297,1185,50,0,39,0,9,14,14,0,1068,14,0,0,9,55,39,951,"Block Group 1, Census Tract 408.04, Ramsey County, Minnesota",249,244,68,9,37,9,15,20,20,9,249,19,9,9,19,89,62,240
"G27012300408042","2018-2022","MN",,,"Minnesota","27","Ramsey County","123",,,"040804","2",,,,,,,,,,,,,,,,,,,,,,,,,"1500000US271230408042",,,"271230408042","Block Group 2, Census Tract 408.04, Ramsey County, Minnesota",877,826,8,0,11,0,0,32,23,9,877,0,0,7,41,158,0,671,"Block Group 2, Census Tract 408.04, Ramsey County, Minnesota",277,273,13,9,15,9,9,25,20,14,277,9,9,12,48,221,9,226
